,time,base,script1,script_price1,script2,script_price2,script3,script_price3,initial base quantity,final base quantity,profit,arbitrage type
750,2023-12-17 20:09:47.950665,USDT,GBPUSDT,1.23700000,XRPGBP,0.49720000,XRPUSDT,0.61550000,200.0,200.091,0.18200000000001637,BUY_BUY_SELL
156,2023-12-17 20:09:47.942602,USDT,BNBUSDT,240.90000000,CAKEBNB,0.00939100,CAKEUSDT,2.26400000,200.0,200.091,0.18200000000001637,BUY_BUY_SELL
9,2023-12-17 20:09:47.937660,USDT,BTCUSDT,41671.94000000,PAXGBTC,0.04779000,PAXGUSDT,1993.00000000,200.0,200.09,0.18000000000000682,BUY_BUY_SELL
379,2023-12-17 20:09:47.945825,USDT,NANOUSDT,2.22400000,NANOBUSD,2.22500000,BUSDUSDT,1.00030000,200.0,200.09,0.18000000000000682,BUY_SELL_SELL
273,2023-12-17 20:09:47.944489,USDT,CAKEUSDT,2.26400000,CAKETUSD,2.27000000,TUSDUSDT,0.99810000,200.0,200.089,0.17799999999999727,BUY_SELL_SELL
158,2023-12-17 20:09:47.942637,USDT,AAVEUSDT,102.26000000,AAVEBNB,0.42480000,BNBUSDT,240.90000000,200.0,200.085,0.17000000000001592,BUY_SELL_SELL
418,2023-12-17 20:09:47.946303,USDT,AUDUSDT,0.72520000,AUDBUSD,0.72550000,BUSDUSDT,1.00030000,200.0,200.083,0.16599999999999682,BUY_SELL_SELL
202,2023-12-17 20:09:47.943282,USDT,LINKUSDT,14.09000000,LINKBNB,0.05853000,BNBUSDT,240.90000000,200.0,200.07999999999998,0.15999999999996817,BUY_SELL_SELL
484,2023-12-17 20:09:47.947083,USDT,BUSDUSDT,1.00030000,USDCBUSD,0.99990000,USDCUSDT,1.00090000,200.0,200.07999999999998,0.15999999999996817,BUY_BUY_SELL
486,2023-12-17 20:09:47.947111,USDT,PAXUSDT,0.99960000,PAXBUSD,1.00000000,BUSDUSDT,1.00030000,200.0,200.07999999999998,0.15999999999996817,BUY_SELL_SELL
712,2023-12-17 20:09:47.950041,USDT,LTCUSDT,72.25000000,LTCEUR,66.16000000,EURUSDT,1.09280000,200.0,200.077,0.15399999999999636,BUY_SELL_SELL
2,2023-12-17 20:09:47.936582,USDT,XMRUSDT,167.70000000,XMRBTC,0.00402700,BTCUSDT,41671.94000000,200.0,200.07399999999998,0.1479999999999677,BUY_SELL_SELL
349,2023-12-17 20:09:47.945465,USDT,BCHABCUSDT,220.08000000,BCHABCBUSD,220.16000000,BUSDUSDT,1.00030000,200.0,200.073,0.146000000000015,BUY_SELL_SELL
385,2023-12-17 20:09:47.945895,USDT,BTTUSDT,0.00277700,BTTBUSD,0.00277800,BUSDUSDT,1.00030000,200.0,200.072,0.14400000000000546,BUY_SELL_SELL
